pref,pref_code,cat,date,shop,addr,lat,lon,lat_i,lon_i
miyagi,04,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ角田藤田店,角田市藤田字目角田93番地1,37.981831,140.826187,9115,6532
miyazaki,45,ドラッグ・薬局,2025-11-10,法人番号9290001025414株式会社コスモス薬品ドラッグコスモス神之山店,都城市神之山町１７４５番地,31.753399,131.096634,7620,4975
miyazaki,45,コンビニ,2025-11-11,海北恭平ファミリーマート都城上川東二丁目店,都城市上川東二丁目９号２,31.740034,131.075272,7617,4972
miyazaki,45,コンビニ,2025-11-01,上倉栄治ローソン小林細野店,小林市細野１４９３番地１,31.988426,130.970215,7677,4955
nagasaki,42,スーパー,2025-11-21,法人番号6290001017604イオン九州株式会社マックスバリュ本原店,長崎市扇町４番１号,32.782764,129.869888,7867,4779
nagasaki,42,コンビニ,2025-11-01,神尾彩也香セブン－イレブン諫早上町店,諫早市上町１２２番地,32.841187,130.056625,7881,4809
nagasaki,42,スーパー,2025-11-26,法人番号9290001072902株式会社トライアルストアーズスーパーセンタートライアル佐々店,北松浦郡佐々町市場免７０番地１,33.233646,129.645874,7976,4743
niigata,15,スーパー,2025-11-17,法人番号2110001013962株式会社オーシャンシステム業務スーパー美沢店,長岡市美沢四丁目２０５番１,37.442635,138.865585,8986,6218
niigata,15,コンビニ,2025-11-30,橋彩子ファミリーマート長岡福道店,長岡市福道町３７８番地１,37.473282,138.811279,8993,6209
niigata,15,スーパー,2025-11-01,法人番号8110001025622株式会社魚沼食品工業たかのスーパー,小千谷市本町一丁目１３番２７号,37.309624,138.79863,8954,6207
oita,44,コンビニ,2025-11-10,中北圭亮セブン－イレブン大分下郡山の手店,大分市下郡山の手２１３番地１,33.221905,131.639862,7973,5062
oita,44,コンビニ,2025-11-14,漆間大樹セブン－イレブン大分片島店,大分市大字片島１８０８番地,33.204967,131.641846,7969,5062
oita,44,スーパー,2025-11-01,法人番号4330001025364株式会社トライアルゴルフ＆リゾートトライアル長者原温泉郷,玖珠郡九重町大字田野２５５番３０,33.152756,131.235001,7956,4997
oita,44,コンビニ,2025-11-01,稲村暢康ミニストップ日田下井手町店,日田市下井手町６１番地,33.304901,130.9487,7993,4951
okayama,33,ドラッグ・薬局,2025-11-13,法人番号1500001004428株式会社レデイ薬局くすりのレデイ西古松店,岡山市北区西古松一丁目34番19号,34.647865,133.904785,8315,5424
okayama,33,コンビニ,2025-11-30,法人番号8260001031317株式会社ＥＷＡＲＵファミリーマートマルハチ大安寺店,岡山市北区大安寺南町一丁目7番12号,34.659595,133.891693,8318,5422
okayama,33,コンビニ,2025-11-30,草苅宗継ファミリーマート岡山つしま西坂店,岡山市北区津島西坂二丁目4番20号,34.684135,133.905396,8324,5424
okayama,33,コンビニ,2025-11-19,脇真吾セブン－イレブン備前畠田店,備前市畠田264番地1,34.726017,134.113266,8334,5458
okayama,33,コンビニ,2025-11-21,石井浩之セブン－イレブン総社西郡店,総社市西郡390番地1,34.654739,133.760056,8317,5401
okayama,33,スーパー,2025-11-21,法人番号8010901017654株式会社アエナアエナイオンモール倉敷店,倉敷市水江1番地ｲｵﾝﾓｰﾙ倉敷2階2206区画,34.601658,133.744385,8304,5399
okayama,33,ドラッグ・薬局,2025-11-19,法人番号9290001025414株式会社コスモス薬品ドラッグコスモス津山上河原店,津山市上河原219番地7,35.083778,134.003891,8420,5440
okinawa,47,コンビニ,2025-11-18,法人番号3360001000497株式会社沖縄ファミリーマートファミリーマート那覇泉崎一丁目店,那覇市泉崎１丁目１５番２５号１階,26.211781,127.677055,6290,4428
okinawa,47,コンビニ,2025-11-30,法人番号3360001000497株式会社沖縄ファミリーマートファミリーマート大里目取真店,南城市大里字稲嶺１９０１番地５,26.163086,127.739388,6279,4438
okinawa,47,コンビニ,2025-11-14,桃原拓也ローソン恩納山田店,国頭郡恩納村字山田２４５６番地１１階,26.428755,127.781441,6342,4445
okinawa,47,コンビニ,2025-11-19,宮城賢成ローソン名護宮里店,名護市字宮里１３７３番地２,26.604628,127.975533,6385,4476
okinawa,47,コンビニ,2025-11-27,真喜志淳ファミリーマートカルチャーハイツ名護店,名護市字宇茂佐１７０３番地１０１,26.607536,127.966431,6385,4474
okinawa,47,コンビニ,2025-11-19,佐次田愛ローソン読谷ときわ店,中頭郡読谷村字ときわ１４番地４ＴｏｋｉｗａＴｅｒｒａｃｅＣｏｕｒｔ１階,26.396111,127.744446,6335,4439
okinawa,47,コンビニ,2025-11-21,渡久地賢ファミリーマート沖縄泡瀬店,沖縄市泡瀬４丁目４４番８号,26.316694,127.827873,6316,4452
saga,41,コンビニ,2025-11-25,秋山啓ローソン神埼千代田町下西店,神埼市千代田町下西６４８番地１,33.260437,130.348663,7982,4855
saitama,11,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ川口新堀店,川口市新堀町１０番２４号,35.826061,139.781601,8598,6365
saitama,11,コンビニ,2025-11-07,法人番号1010701035020株式会社ローソンアーバンワークスローソン西川口駅西口店,川口市西川口一丁目７番１号,35.815815,139.703796,8595,6352
saitama,11,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ東浦和店,さいたま市緑区大字大間木１６０２番地１,35.860691,139.707321,8606,6353
saitama,11,コンビニ,2025-11-05,三宅香ファミリーマートさいたま東大門店,さいたま市緑区東大門二丁目１番地５,35.884178,139.737549,8612,6358
saitama,11,コンビニ,2025-11-30,法人番号2013301010706株式会社ファミリーマートファミリーマートさいたま栄和五丁目店,さいたま市桜区栄和五丁目１７番１７号,35.865417,139.615112,8607,6338
saitama,11,コンビニ,2025-11-01,程塚彰一ミニストップ指扇店,さいたま市西区大字指扇４２４番地１,35.912354,139.58107,8618,6332
saitama,11,コンビニ,2025-11-10,後藤大樹ローソンさいたま東宮下団地店,さいたま市見沼区大字東宮下２０３７番地,35.92725,139.675995,8622,6348
saitama,11,コンビニ,2025-11-01,南雲明美ローソン羽生岩瀬店,羽生市中岩瀬１０３３番地１,36.164829,139.527664,8679,6324
saitama,11,コンビニ,2025-11-30,荒張秋広ファミリーマート狭山赤坂店,狭山市大字上赤坂６１９番地２,35.84676,139.466797,8603,6314
saitama,11,コンビニ,2025-11-01,法人番号4010001030181ミニストップ株式会社ミニストップ東松山六反町店,東松山市六反町１５番地１０,36.035446,139.41684,8648,6306
saitama,11,スーパー,2025-11-21,法人番号1290001009110株式会社トライアルカンパニーメガセンタートライアル東松山店,東松山市小松原町１１番地２,36.043678,139.408325,8650,6305
saitama,11,コンビニ,2025-11-01,法人番号6030001092012株式会社サンネクストローソン杉戸本郷店,北葛飾郡杉戸町大字本郷４１７番地２,36.005577,139.754379,8641,6360
saitama,11,コンビニ,2025-11-07,髙橋利行ファミリーマート杉戸清地店,北葛飾郡杉戸町清地一丁目４番１号,36.028339,139.734558,8646,6357
saitama,11,コンビニ,2025-11-07,法人番号9030001072473株式会社ドリームカプセルマーケッツファミリーマート幸手陽光桜通り店,幸手市大字幸手１７４９番地１,36.072754,139.728653,8657,6356
saitama,11,コンビニ,2025-11-14,髙橋利行ファミリーマート久喜東店,久喜市久喜東四丁目２３番６号,36.055229,139.684296,8653,6349
saitama,11,コンビニ,2025-11-30,法人番号2013301010706株式会社ファミリーマートファミリーマート三郷彦川戸店,三郷市彦川戸一丁目２７８番地１,35.8484,139.852478,8603,6376
saitama,11,コンビニ,2025-11-01,大隅龍二ローソン十文字学園女子大学前店,新座市野火止四丁目１４番１６号,35.799316,139.552261,8591,6328
saitama,11,ドラッグ・薬局,2025-11-07,法人番号6030001051892株式会社セキ薬品ドラッグストアセキ新座大和田店,新座市大和田五丁目４番１０号,35.813396,139.558197,8595,6329
sapporo,01,コンビニ,2025-11-04,牧野冬紀ローソン札幌南２条西二丁目店,札幌市中央区南二条西二丁目１１番地５札幌ＮＳビル１階,43.058456,141.355087,10334,6616
